Job_Title,Company,City,Salary,Description,Experience,Education,Skills,min_salary,max_salary,min_exp,max_exp
not mentioned,ennoventure technologies,['bengaluru'],not disclosed,minimum of 4+ years of hands-on work experience in computer vision and machine learning...,3-7 yrs,"education
ug: any graduate
pg: any postgraduate","['computer vision', 'advanced analytics', 'data science', 'data management', 'machine learning', 'data processing', 'data integrity', 'python']",10.0,15.5,3.0,7.0
not mentioned,ecolab digital center (edc),['bengaluru'],not disclosed,"education / work experience:degree or advanced degree in data science, mathematics, sta...",2-5 yrs,"education
ug: any graduate
pg: any postgraduate","['computer science', 'basic', 'data analysis', 'data science', 'project management', 'deployment', 'mathematics', 'research', 'statistics', 'supervision']",10.0,15.5,2.0,5.0
not mentioned,response informatics,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed,strong hands-on experience in reinforcement learning and machine learning aws azure dep...,2-6 yrs,"education
ug: any graduate
pg: any postgraduate","['coding', 'technical writing', 'neural networks', 'data manipulation', 'machine learning', 'cloud', 'data processing', 'aws', 'supervision', 'python']",10.0,15.5,2.0,6.0
not mentioned,faurecia,['pune'],not disclosed,"    forvia, a sustainable mobility technology leader     we pioneer technology for mobi...",3-5 yrs,"education
ug: any graduate
pg: any postgraduate","['computer vision', 'deep learning', 'data analysis', 'artificial intelligence', 'machine learning', 'manager technology', 'agile', 'automotive', 'python']",10.0,15.5,3.0,5.0
not mentioned,growthjockey,['gurugram'],not disclosed,"master s degree in computer science, statistics, applied math or related field . 0-1 ye...",0-1 yrs,"education
ug: any graduate
pg: any postgraduate","['computer science', 'data analysis', 'sas', 'machine learning', 'data structures', 'data processing', 'predictive modeling', 'pattern recognition', 'data mining', 'python']",10.0,15.5,0.0,1.0
not mentioned,indusind bank,['gurugram'],not disclosed,(b) transform existing lines of businesses and . (c) build new digital only or banking ...,6-10 yrs,"education
ug: b.tech/b.e. in any specialization","['banking analytics', 'customer analytics', 'python', 'sql']",10.0,15.5,6.0,10.0
not mentioned,not mentioned,"['hybrid - hyderabad', ' pune', ' bengaluru']",not disclosed,"experience in designing solutions utilizing generativeai, ai and ml components. - hands...",5-10 yrs,"education
ug: any graduate
pg: any postgraduate","['natural language processing', 'gen ai', 'machine learning', 'python']",10.0,15.5,5.0,10.0
not mentioned,not mentioned,"['hyderabad', ' chennai', ' bengaluru']",not disclosed," modeling, developing, validating, robotics/agent-oriented software solutions core stat...",5-10 yrs,"education
ug: any graduate",['not mentioned'],10.0,15.5,5.0,10.0
not mentioned,not mentioned,"['hyderabad', ' bengaluru', ' delhi / ncr']",not disclosed,"could also include but not limited to deep learning, neural networks, chatbots, image p...",6-11 yrs,"education
ug: b.tech/b.e. in any specialization","['gcp', 'natural language processing', 'aws sagemaker', 'aiml', 'computer vision', 'machine learning', 'deep learning', 'python']",10.0,15.5,6.0,11.0
not mentioned,vizlogic digital solutions pvt ltd,"['hybrid - gurugram', ' mumbai (all areas)']",6-12 lacs pa,proficient in power bi azure databricks experience,3-5 yrs,"education
ug: b.tech/b.e. in any specialization
pg: mca in any specialization","['data werehousing', 'azure data factory', 'power bi', 'storytelling', 'azure databricks', 'data lake']",6.0,12.0,3.0,5.0
